hhid.code,cluster.id,year,hh.size,age.head,sex.head,wealth.score,wealth.index,education,lat,long,dist.road,dist.pop,dist.market,elevation,hdds12,mdd10,mhdds9,forest.ha,forest.patches
1,1114002,2013,4,72,1,1,Bottom,None,-5.09,35.85,1.2,23,87.8,1197,6,3,4,567.6722705,317
2,1114002,2013,4,40,1,1,Bottom,Primary,-5.09,35.85,0.1,23.5,87.7,1193,5,3,2,567.6722705,317
3,1114002,2013,8,53,1,4,Middle,Secondary,-5.09,35.85,0,23.4,87.5,1199,9,8,6,567.6722705,317
4,1114002,2013,5,34,1,5,Rich,None,-5.09,35.85,0.4,23.4,87.4,1200,8,6,5,567.6722705,317
5,1114002,2013,5,54,2,3,Middle,None,-5.09,35.85,0.3,23.3,87.3,1200,4,2,2,567.6722705,317
6,1114002,2013,5,34,1,1,Bottom,None,-5.09,35.85,1.2,21.9,84.9,1239,7,5,4,567.6722705,317
7,1114002,2013,8,71,1,1,Bottom,None,-5.09,35.85,0,22.8,87,1207,4,3,3,567.6722705,317
8,1114002,2013,5,59,1,2,Bottom,None,-5.09,35.85,0.2,22.6,86.6,1213,3,2,2,567.6722705,317
9,1203003,2013,2,46,1,1,Bottom,Primary,-6.46,36.72,35.4,54.3,27.3,1055,11,8,8,5988.256975,1568
10,1203003,2013,10,50,1,2,Bottom,Primary,-6.46,36.72,33.3,56.2,26.5,1053,6,6,5,5988.256975,1568
12,1203003,2013,7,39,1,2,Bottom,Primary,-6.46,36.72,35.5,53.7,28.1,1070,11,8,8,5988.256975,1568
13,1203003,2013,6,35,1,1,Bottom,Primary,-6.46,36.72,35.1,53.6,28.5,1077,9,7,6,5988.256975,1568
15,1217003,2013,6,53,1,4,Middle,None,-6.61,36.51,52.4,58,30.4,933,7,6,5,721.7424713,571
16,1217003,2013,5,52,2,1,Bottom,Primary,-6.61,36.51,52.1,58.4,30.3,929,5,5,3,721.7424713,571
17,1217003,2013,7,40,2,2,Bottom,None,-6.61,36.51,51.9,58.5,30.3,935,4,4,3,721.7424713,571
18,1217003,2013,12,38,1,5,Rich,None,-6.61,36.51,52.2,57.7,31,943,10,8,7,721.7424713,571
19,1217003,2013,6,47,1,2,Bottom,Primary,-6.61,36.51,55.4,57.9,27.4,884,6,5,3,721.7424713,571
20,1217003,2013,7,33,1,1,Bottom,None,-6.61,36.51,56.8,56.2,28.2,942,4,4,3,721.7424713,571
21,1217003,2013,4,39,1,1,Bottom,Primary,-6.61,36.51,56.4,56.8,27.7,918,3,2,2,721.7424713,571
22,1313004,2013,8,54,1,1,Bottom,Primary,-6.18,36.48,15.2,81.2,14,1177,8,5,6,723.8058122,204
23,1313004,2013,6,47,2,1,Bottom,Primary,-6.18,36.48,12.4,79.9,16.9,1093,6,6,4,723.8058122,204
24,1313004,2013,4,44,1,1,Bottom,Primary,-6.18,36.48,15.1,81.5,14.1,1169,6,6,4,723.8058122,204
25,1313004,2013,5,36,2,1,Bottom,Primary,-6.18,36.48,14.7,81.1,14.5,1154,8,7,5,723.8058122,204
26,1313004,2013,7,46,1,2,Bottom,Primary,-6.18,36.48,14.6,80.2,14.7,1163,8,7,5,723.8058122,204
27,1431001,2013,4,71,2,3,Middle,None,-6.38,35.65,9.4,23.2,91,1050,3,3,2,97.52192402,92
28,1431001,2013,5,69,1,4,Middle,Primary,-6.38,35.65,9.2,22.4,90.8,1056,6,5,3,97.52192402,92
29,1431001,2013,7,82,2,1,Bottom,None,-6.38,35.65,8.1,23,89.7,1066,10,8,7,97.52192402,92
31,1438003,2013,4,37,2,3,Middle,Primary,-5.95,35.24,3.3,58.3,142.2,834,8,6,5,0,0
32,1438003,2013,4,69,1,1,Bottom,Primary,-5.95,35.24,4.5,59.1,143.1,835,5,5,4,0,0
33,1438003,2013,7,40,1,1,Bottom,Primary,-5.95,35.24,5,59.5,143.5,834,11,10,8,0,0
34,1438003,2013,7,43,1,2,Bottom,Primary,-5.95,35.24,5.6,58.8,142.8,831,3,2,2,0,0
35,1438003,2013,3,58,1,2,Bottom,Primary,-5.95,35.24,6.8,59.5,143.7,830,11,9,8,0,0
